latitude,longitude,depth,mag
-17.9749,-179.4804,653.46,5
22.274,143.7568,107.9,5.7
35.8638,140.5913,26.27,5.4
36.4605,71.2364,102.59,5.1
13.3118,-44.8777,10,5.6
39.7218,20.5605,10,4.5
33.5895,120.3267,10,4.7
-13.5827,-76.3018,46.2,4.7
-6.0833,149.0651,88.24,4.7
36.0641,30.5084,49.81,4.7
1.0951,126.2804,59.15,4.9
-4.8626,108.1627,614,6.6
15.2179,-61.4913,146,5.6
52.8632,-168.8618,54,4.5
-23.3265,-179.843,540,5.9
16.6885,-99.8129,24.83,4.8
-5.4681,147.1633,177.08,4.6
5.638,61.4544,10,5.1
27.3516,128.4784,53.52,4.5
-60.3487,-47.2696,10,5.3
51.4602,16.2018,5,4.5
10.0169,126.0986,51.94,5.1
-53.5386,25.2663,10,4.5
47.9629,152.4612,131.87,4.6
-5.429,153.3949,10,4.9
5.3038,61.4043,10,4.6
5.3639,61.3792,10,4.6
-4.8211,68.7706,10,4.8
-14.2181,-75.4601,51.72,4.5
53.7576,-164.8194,50.52,4.5
32.8768,95.0681,35,4.6
32.9064,94.8796,23.32,5.9
-24.2348,-67.3648,207.36,4.6
-6.0526,148.8617,35,6.9
37.1522,71.8287,149.73,4.6
-17.1655,176.3777,10,4.5
36.6166,70.827,246.99,4.6
-63.5861,-61.9124,10,4.9
-3.2944,150.6502,10,4.7
39.7848,20.6133,27.14,4.6
39.77,20.6323,7.18,4.5
-7.007,-80.1187,40.76,5
42.2393,143.1533,66.35,4.5
-14.5512,167.3932,196.61,4.7
-3.4687,139.294,60.36,4.7
-4.1907,152.8935,49.03,4.5
39.7682,20.7164,10,4.5
-57.2246,-25.2136,53.05,4.7
38.3018,141.5331,14.24,5.1
-8.8504,-74.7638,134.9,4.5
39.74,20.7143,10,4.5
39.7864,20.6,10,5.1
39.7478,20.6335,10,5
39.8073,20.6096,10,4.8
-2.7678,126.7073,43.76,4.8
39.7251,20.7046,10,4.9
39.8071,20.5924,11.6,5.2
39.7659,20.7143,10,5
16.5465,147.6161,10,4.6
39.7657,20.7978,10,4.6
39.8063,20.6463,22,5.5
-12.2882,167.1957,229.54,4.6
-22.6403,-174.1247,27.87,4.7
85.5754,83.8355,10,4.5
42.2088,30.7242,6.4,5.1
-4.2701,150.3605,442,6.3
34.7273,26.5171,10.59,4.5
-17.6334,-178.6128,547.86,4.5
-1.0721,-24.7087,10,4.5
16.5779,148.1442,10,4.5
16.4765,148.4049,10,4.6
-12.4055,166.9442,186.25,4.8
